corp_code,종목코드
00491938,130500
01535150,395400
01437432,383930
00306719,069510
00178851,060380
00407285,059100
00219440,028080
00239596,037760
00133089,015200
00117577,001800
01504804,367460
00577335,129920
00113508,000320
00153755,004100
00132804,004980
01222432,306040
01437186,365550
00862853,237820
00157636,024880
00407975,068420
00174208,036890
00659976,265560
01160512,900270
01020269,434190
00785475,131390
00255275,078150
00143262,010400
00160861,011500
00114093,004830
00181299,089980
01364747,399720
00347442,051810
00415628,075580
00173740,005450
00654272,171010
00373447,038070
00990165,183190
00809517,226350
00165680,008770
00159342,025770
00327819,171090
00257732,101680
00793155,220180
00176516,036190
00684714,103140
00126371,009150
00148993,000140
00565154,214320
01686755,441270
00141282,001890
00593032,093050
00133511,004060
00414601,077500
00199988,041930
00416654,072130
01208885,267290
00102140,009140
00171867,042110
00230425,039860
00287788,040420
01117246,278990
01047840,207760
01246742,258050
01419135,344860
00587457,094480
00124276,008470
00328191,073010
00155151,043370
00143527,012320
00611286,191600
00138446,013990
00296263,051390
00269612,047310
00350482,045300
00256715,043650
00127936,002290
00154055,001420
00447928,085910
00144164,018670
01214743,298540
00159564,025890
00759294,122990
00112165,092200
00445799,093920
01316227,298020
00222532,037560
01478712,353200
01656374,430220
00143314,015260
00138701,002030
00364306,081580
00244783,052600
00112022,024890
00298270,053800
01396931,337840
00152783,049430
00302926,064350
00167280,007630
00105299,014280
00110893,003540
01316236,298000
00623661,104830
00159102,005830
01076550,221670
00226866,049070
00122898,007210
01101041,225590
00132488,012580
01327092,317120
00365758,052860
00808022,140410
00626710,096300
00939331,161890
00301422,066590
00210980,032940
00296005,046970
01077577,215360
00231372,032350
00221728,066130
00761952,123860
00129271,009470
00164812,011760
00188797,119500
01416457,341160
00526696,095270
01069736,256150
00660033,115530
01070857,217600
00540340,290510
01116380,245450
00172291,012510
00374020,063760
01139965,408900
00462121,073490
00616290,123570
00300548,079430
01109955,219420
01571107,394280
00188089,020000
00106368,011780
00264228,038620
00843900,191410
00149026,000590
00256380,049520
00167004,024060
01199189,264850
00302120,054340
00112721,140520
00624998,123330
00123781,026940
00604815,121890
00454946,083420
00155498,001310
00309831,061040
00366942,059090
00261285,036460
01291317,393890
01011562,194610
01336443,310870
00961774,179900
00154718,082920
00350020,049120
00117382,004510
00125646,018310
00131692,008490
00122737,028670
00422284,072870
00107677,002070
00234227,056080
00145668,001840
